fecha,nombre_fondo,valor_unidad
2016-01-01,Fondo de Cesantias Largo Plazo,23733.32
2016-01-01,Fondo de Cesantias Corto Plazo,21589.17
2016-01-01,Fondo de Pensiones Moderado,30713.58
2016-01-01,Fondo de Pensiones Conservador,32470.17
2016-01-01,Fondo de Pensiones Mayor Riesgo,33530.89
2016-01-01,Fondo de Pensiones Retiro Programado,32370.29
2016-01-02,Fondo de Cesantias Largo Plazo,23735.4
2016-01-02,Fondo de Cesantias Corto Plazo,21592.01
2016-01-02,Fondo de Pensiones Moderado,30717.71
2016-01-02,Fondo de Pensiones Conservador,32477.24
2016-01-02,Fondo de Pensiones Mayor Riesgo,33534.46
2016-01-02,Fondo de Pensiones Retiro Programado,32377.99
2016-01-03,Fondo de Cesantias Largo Plazo,23737.41
2016-01-03,Fondo de Cesantias Corto Plazo,21594.86
2016-01-03,Fondo de Pensiones Moderado,30721.77
2016-01-03,Fondo de Pensiones Conservador,32484.26
2016-01-03,Fondo de Pensiones Mayor Riesgo,33538.01
2016-01-03,Fondo de Pensiones Retiro Programado,32385.73
2016-01-04,Fondo de Cesantias Largo Plazo,23566.9
2016-01-04,Fondo de Cesantias Corto Plazo,21597.08
2016-01-04,Fondo de Pensiones Moderado,30499.19
2016-01-04,Fondo de Pensiones Conservador,32338.17
2016-01-04,Fondo de Pensiones Mayor Riesgo,33106.35
2016-01-04,Fondo de Pensiones Retiro Programado,32239.97
2016-01-05,Fondo de Cesantias Largo Plazo,23570.66
2016-01-05,Fondo de Cesantias Corto Plazo,21601.26
2016-01-05,Fondo de Pensiones Moderado,30509.19
2016-01-05,Fondo de Pensiones Conservador,32336.33
2016-01-05,Fondo de Pensiones Mayor Riesgo,33115.15
2016-01-05,Fondo de Pensiones Retiro Programado,32232.35
2016-01-06,Fondo de Cesantias Largo Plazo,23504.99
2016-01-06,Fondo de Cesantias Corto Plazo,21603.88
2016-01-06,Fondo de Pensiones Moderado,30437.79
2016-01-06,Fondo de Pensiones Conservador,32275.98
2016-01-06,Fondo de Pensiones Mayor Riesgo,32922.92
2016-01-06,Fondo de Pensiones Retiro Programado,32164.7
2016-01-07,Fondo de Cesantias Largo Plazo,23352.78
2016-01-07,Fondo de Cesantias Corto Plazo,21606.29
2016-01-07,Fondo de Pensiones Moderado,30198.87
2016-01-07,Fondo de Pensiones Conservador,32131.1
2016-01-07,Fondo de Pensiones Mayor Riesgo,32529.75
2016-01-07,Fondo de Pensiones Retiro Programado,31986.04
2016-01-08,Fondo de Cesantias Largo Plazo,23251.74
2016-01-08,Fondo de Cesantias Corto Plazo,21606.92
2016-01-08,Fondo de Pensiones Moderado,30023.97
2016-01-08,Fondo de Pensiones Conservador,32074.85
2016-01-08,Fondo de Pensiones Mayor Riesgo,32260.55
2016-01-08,Fondo de Pensiones Retiro Programado,31925.87
2016-01-09,Fondo de Cesantias Largo Plazo,23253.65
2016-01-09,Fondo de Cesantias Corto Plazo,21609.7
2016-01-09,Fondo de Pensiones Moderado,30028.09
2016-01-09,Fondo de Pensiones Conservador,32082.03
2016-01-09,Fondo de Pensiones Mayor Riesgo,32263.83
2016-01-09,Fondo de Pensiones Retiro Programado,31933.61
2016-01-10,Fondo de Cesantias Largo Plazo,23255.38
2016-01-10,Fondo de Cesantias Corto Plazo,21612.6
2016-01-10,Fondo de Pensiones Moderado,30032.21
2016-01-10,Fondo de Pensiones Conservador,32089.15
2016-01-10,Fondo de Pensiones Mayor Riesgo,32266.72
2016-01-10,Fondo de Pensiones Retiro Programado,31941.14
2016-01-11,Fondo de Cesantias Largo Plazo,23257.45
2016-01-11,Fondo de Cesantias Corto Plazo,21615.53
2016-01-11,Fondo de Pensiones Moderado,30036.29
2016-01-11,Fondo de Pensiones Conservador,32096.23
2016-01-11,Fondo de Pensiones Mayor Riesgo,32269.98
2016-01-11,Fondo de Pensiones Retiro Programado,31948.83
2016-01-12,Fondo de Cesantias Largo Plazo,23166.46
2016-01-12,Fondo de Cesantias Corto Plazo,21618.54
2016-01-12,Fondo de Pensiones Moderado,29907.29
2016-01-12,Fondo de Pensiones Conservador,32055.0
2016-01-12,Fondo de Pensiones Mayor Riesgo,32136.12
2016-01-12,Fondo de Pensiones Retiro Programado,31902.29
2016-01-13,Fondo de Cesantias Largo Plazo,23198.91
2016-01-13,Fondo de Cesantias Corto Plazo,21622.95
2016-01-13,Fondo de Pensiones Moderado,29891.07
2016-01-13,Fondo de Pensiones Conservador,32046.73
2016-01-13,Fondo de Pensiones Mayor Riesgo,32150.07
2016-01-13,Fondo de Pensiones Retiro Programado,31881.33
2016-01-14,Fondo de Cesantias Largo Plazo,23305.54
2016-01-14,Fondo de Cesantias Corto Plazo,21625.46
2016-01-14,Fondo de Pensiones Moderado,30074.2
2016-01-14,Fondo de Pensiones Conservador,32136.83
2016-01-14,Fondo de Pensiones Mayor Riesgo,32436.15
2016-01-14,Fondo de Pensiones Retiro Programado,31967.78
2016-01-15,Fondo de Cesantias Largo Plazo,23140.9
2016-01-15,Fondo de Cesantias Corto Plazo,21628.6
2016-01-15,Fondo de Pensiones Moderado,29856.33
2016-01-15,Fondo de Pensiones Conservador,32006.94
2016-01-15,Fondo de Pensiones Mayor Riesgo,31981.27
2016-01-15,Fondo de Pensiones Retiro Programado,31819.25
2016-01-16,Fondo de Cesantias Largo Plazo,23143.06
2016-01-16,Fondo de Cesantias Corto Plazo,21631.55
2016-01-16,Fondo de Pensiones Moderado,29860.54
2016-01-16,Fondo de Pensiones Conservador,32014.23
2016-01-16,Fondo de Pensiones Mayor Riesgo,31985.06
2016-01-16,Fondo de Pensiones Retiro Programado,31827.15
2016-01-17,Fondo de Cesantias Largo Plazo,23145.22
2016-01-17,Fondo de Cesantias Corto Plazo,21634.53
2016-01-17,Fondo de Pensiones Moderado,29864.76
2016-01-17,Fondo de Pensiones Conservador,32021.55
2016-01-17,Fondo de Pensiones Mayor Riesgo,31988.83
2016-01-17,Fondo de Pensiones Retiro Programado,31835.01
2016-01-18,Fondo de Cesantias Largo Plazo,23050.57
2016-01-18,Fondo de Cesantias Corto Plazo,21638.73
2016-01-18,Fondo de Pensiones Moderado,29711.01
2016-01-18,Fondo de Pensiones Conservador,31961.29
2016-01-18,Fondo de Pensiones Mayor Riesgo,31800.13
2016-01-18,Fondo de Pensiones Retiro Programado,31763.15
2016-01-19,Fondo de Cesantias Largo Plazo,23116.97
2016-01-19,Fondo de Cesantias Corto Plazo,21641.15
2016-01-19,Fondo de Pensiones Moderado,29841.06
2016-01-19,Fondo de Pensiones Conservador,32025.08
2016-01-19,Fondo de Pensiones Mayor Riesgo,32033.19
2016-01-19,Fondo de Pensiones Retiro Programado,31802.08
2016-01-20,Fondo de Cesantias Largo Plazo,23020.66
2016-01-20,Fondo de Cesantias Corto Plazo,21644.02
2016-01-20,Fondo de Pensiones Moderado,29749.53
2016-01-20,Fondo de Pensiones Conservador,31883.79
2016-01-20,Fondo de Pensiones Mayor Riesgo,31824.37
2016-01-20,Fondo de Pensiones Retiro Programado,31616.08
2016-01-21,Fondo de Cesantias Largo Plazo,23079.6
2016-01-21,Fondo de Cesantias Corto Plazo,21647.45
2016-01-21,Fondo de Pensiones Moderado,29872.45
2016-01-21,Fondo de Pensiones Conservador,31945.96
2016-01-21,Fondo de Pensiones Mayor Riesgo,31954.6
2016-01-21,Fondo de Pensiones Retiro Programado,31679.77
2016-01-22,Fondo de Cesantias Largo Plazo,23276.71
2016-01-22,Fondo de Cesantias Corto Plazo,21651.5
2016-01-22,Fondo de Pensiones Moderado,30106.8
2016-01-22,Fondo de Pensiones Conservador,32112.36
2016-01-22,Fondo de Pensiones Mayor Riesgo,32422.94
2016-01-22,Fondo de Pensiones Retiro Programado,31851.97
2016-01-23,Fondo de Cesantias Largo Plazo,23278.74
2016-01-23,Fondo de Cesantias Corto Plazo,21654.36
2016-01-23,Fondo de Pensiones Moderado,30111.12
2016-01-23,Fondo de Pensiones Conservador,32119.57
2016-01-23,Fondo de Pensiones Mayor Riesgo,32426.61
2016-01-23,Fondo de Pensiones Retiro Programado,31859.91
2016-01-24,Fondo de Cesantias Largo Plazo,23280.88
2016-01-24,Fondo de Cesantias Corto Plazo,21657.32
2016-01-24,Fondo de Pensiones Moderado,30115.45
2016-01-24,Fondo de Pensiones Conservador,32126.77
2016-01-24,Fondo de Pensiones Mayor Riesgo,32430.32
2016-01-24,Fondo de Pensiones Retiro Programado,31867.78
2016-01-25,Fondo de Cesantias Largo Plazo,23276.08
2016-01-25,Fondo de Cesantias Corto Plazo,21659.2
2016-01-25,Fondo de Pensiones Moderado,30145.87
2016-01-25,Fondo de Pensiones Conservador,32120.49
2016-01-25,Fondo de Pensiones Mayor Riesgo,32424.11
2016-01-25,Fondo de Pensiones Retiro Programado,31860.73
2016-01-26,Fondo de Cesantias Largo Plazo,23350.68
2016-01-26,Fondo de Cesantias Corto Plazo,21662.08
2016-01-26,Fondo de Pensiones Moderado,30285.29
2016-01-26,Fondo de Pensiones Conservador,32182.18
2016-01-26,Fondo de Pensiones Mayor Riesgo,32643.02
2016-01-26,Fondo de Pensiones Retiro Programado,31943.37
2016-01-27,Fondo de Cesantias Largo Plazo,23369.67
2016-01-27,Fondo de Cesantias Corto Plazo,21665.53
2016-01-27,Fondo de Pensiones Moderado,30292.42
2016-01-27,Fondo de Pensiones Conservador,32200.11
2016-01-27,Fondo de Pensiones Mayor Riesgo,32633.24
