fecha,nombre_fondo,valor_unidad
2016-01-01,Fondo de Cesantias Largo Plazo,28771.14
2016-01-01,Fondo de Cesantias Corto Plazo,28882.18
2016-01-01,Fondo de Pensiones Moderado,27537.9
2016-01-01,Fondo de Pensiones Conservador,27599.43
2016-01-01,Fondo de Pensiones Mayor Riesgo,26374.4
2016-01-01,Fondo de Pensiones Retiro Programado,27990.58
2016-01-01,Fondo de Pensiones Alternativo,2637.3
2016-01-02,Fondo de Cesantias Largo Plazo,28773.97
2016-01-02,Fondo de Cesantias Corto Plazo,28886.8
2016-01-02,Fondo de Pensiones Moderado,27541.82
2016-01-02,Fondo de Pensiones Conservador,27605.56
2016-01-02,Fondo de Pensiones Mayor Riesgo,26377.33
2016-01-02,Fondo de Pensiones Retiro Programado,27997.18
2016-01-02,Fondo de Pensiones Alternativo,2637.63
2016-01-03,Fondo de Cesantias Largo Plazo,28776.8
2016-01-03,Fondo de Cesantias Corto Plazo,28891.5
2016-01-03,Fondo de Pensiones Moderado,27545.57
2016-01-03,Fondo de Pensiones Conservador,27611.7
2016-01-03,Fondo de Pensiones Mayor Riesgo,26380.22
2016-01-03,Fondo de Pensiones Retiro Programado,28003.72
2016-01-03,Fondo de Pensiones Alternativo,2637.93
2016-01-04,Fondo de Cesantias Largo Plazo,28569.98
2016-01-04,Fondo de Cesantias Corto Plazo,28888.81
2016-01-04,Fondo de Pensiones Moderado,27332.44
2016-01-04,Fondo de Pensiones Conservador,27498.68
2016-01-04,Fondo de Pensiones Mayor Riesgo,26032.41
2016-01-04,Fondo de Pensiones Retiro Programado,27881.18
2016-01-04,Fondo de Pensiones Alternativo,2629.92
2016-01-05,Fondo de Cesantias Largo Plazo,28571.98
2016-01-05,Fondo de Cesantias Corto Plazo,28894.75
2016-01-05,Fondo de Pensiones Moderado,27333.74
2016-01-05,Fondo de Pensiones Conservador,27478.02
2016-01-05,Fondo de Pensiones Mayor Riesgo,26037.52
2016-01-05,Fondo de Pensiones Retiro Programado,27861.8
2016-01-05,Fondo de Pensiones Alternativo,2627.32
2016-01-06,Fondo de Cesantias Largo Plazo,28478.69
2016-01-06,Fondo de Cesantias Corto Plazo,28903.94
2016-01-06,Fondo de Pensiones Moderado,27353.14
2016-01-06,Fondo de Pensiones Conservador,27435.98
2016-01-06,Fondo de Pensiones Mayor Riesgo,25867.16
2016-01-06,Fondo de Pensiones Retiro Programado,27812.39
2016-01-06,Fondo de Pensiones Alternativo,2636.79
2016-01-07,Fondo de Cesantias Largo Plazo,28304.29
2016-01-07,Fondo de Cesantias Corto Plazo,28904.73
2016-01-07,Fondo de Pensiones Moderado,27153.47
2016-01-07,Fondo de Pensiones Conservador,27322.23
2016-01-07,Fondo de Pensiones Mayor Riesgo,25572.54
2016-01-07,Fondo de Pensiones Retiro Programado,27686.48
2016-01-07,Fondo de Pensiones Alternativo,2624.32
2016-01-08,Fondo de Cesantias Largo Plazo,28212.77
2016-01-08,Fondo de Cesantias Corto Plazo,28902.17
2016-01-08,Fondo de Pensiones Moderado,27008.51
2016-01-08,Fondo de Pensiones Conservador,27278.3
2016-01-08,Fondo de Pensiones Mayor Riesgo,25361.03
2016-01-08,Fondo de Pensiones Retiro Programado,27640.71
2016-01-08,Fondo de Pensiones Alternativo,2608.98
2016-01-09,Fondo de Cesantias Largo Plazo,28215.61
2016-01-09,Fondo de Cesantias Corto Plazo,28907.29
2016-01-09,Fondo de Pensiones Moderado,27012.18
2016-01-09,Fondo de Pensiones Conservador,27284.48
2016-01-09,Fondo de Pensiones Mayor Riesgo,25363.87
2016-01-09,Fondo de Pensiones Retiro Programado,27647.34
2016-01-09,Fondo de Pensiones Alternativo,2609.29
2016-01-10,Fondo de Cesantias Largo Plazo,28217.89
2016-01-10,Fondo de Cesantias Corto Plazo,28912.39
2016-01-10,Fondo de Pensiones Moderado,27016.04
2016-01-10,Fondo de Pensiones Conservador,27290.51
2016-01-10,Fondo de Pensiones Mayor Riesgo,25366.72
2016-01-10,Fondo de Pensiones Retiro Programado,27653.84
2016-01-10,Fondo de Pensiones Alternativo,2609.6
2016-01-11,Fondo de Cesantias Largo Plazo,28220.74
2016-01-11,Fondo de Cesantias Corto Plazo,28917.49
2016-01-11,Fondo de Pensiones Moderado,27019.88
2016-01-11,Fondo de Pensiones Conservador,27296.6
2016-01-11,Fondo de Pensiones Mayor Riesgo,25369.5
2016-01-11,Fondo de Pensiones Retiro Programado,27660.46
2016-01-11,Fondo de Pensiones Alternativo,2609.91
2016-01-12,Fondo de Cesantias Largo Plazo,28137.65
2016-01-12,Fondo de Cesantias Corto Plazo,28923.69
2016-01-12,Fondo de Pensiones Moderado,26928.83
2016-01-12,Fondo de Pensiones Conservador,27274.74
2016-01-12,Fondo de Pensiones Mayor Riesgo,25269.6
2016-01-12,Fondo de Pensiones Retiro Programado,27639.99
2016-01-12,Fondo de Pensiones Alternativo,2599.92
2016-01-13,Fondo de Cesantias Largo Plazo,28194.83
2016-01-13,Fondo de Cesantias Corto Plazo,28933.46
2016-01-13,Fondo de Pensiones Moderado,26941.89
2016-01-13,Fondo de Pensiones Conservador,27278.25
2016-01-13,Fondo de Pensiones Mayor Riesgo,25326.11
2016-01-13,Fondo de Pensiones Retiro Programado,27627.88
2016-01-13,Fondo de Pensiones Alternativo,2597.41
2016-01-14,Fondo de Cesantias Largo Plazo,28347.49
2016-01-14,Fondo de Cesantias Corto Plazo,28937.26
2016-01-14,Fondo de Pensiones Moderado,27138.37
2016-01-14,Fondo de Pensiones Conservador,27361.5
2016-01-14,Fondo de Pensiones Mayor Riesgo,25559.54
2016-01-14,Fondo de Pensiones Retiro Programado,27715.08
2016-01-14,Fondo de Pensiones Alternativo,2615.57
2016-01-15,Fondo de Cesantias Largo Plazo,28129.46
2016-01-15,Fondo de Cesantias Corto Plazo,28943.28
2016-01-15,Fondo de Pensiones Moderado,26926.09
2016-01-15,Fondo de Pensiones Conservador,27247.26
2016-01-15,Fondo de Pensiones Mayor Riesgo,25199.34
2016-01-15,Fondo de Pensiones Retiro Programado,27601.47
2016-01-15,Fondo de Pensiones Alternativo,2606.26
2016-01-16,Fondo de Cesantias Largo Plazo,28132.53
2016-01-16,Fondo de Cesantias Corto Plazo,28948.58
2016-01-16,Fondo de Pensiones Moderado,26930.02
2016-01-16,Fondo de Pensiones Conservador,27253.63
2016-01-16,Fondo de Pensiones Mayor Riesgo,25202.5
2016-01-16,Fondo de Pensiones Retiro Programado,27608.33
2016-01-16,Fondo de Pensiones Alternativo,2606.57
2016-01-17,Fondo de Cesantias Largo Plazo,28135.61
2016-01-17,Fondo de Cesantias Corto Plazo,28953.88
2016-01-17,Fondo de Pensiones Moderado,26933.95
2016-01-17,Fondo de Pensiones Conservador,27259.98
2016-01-17,Fondo de Pensiones Mayor Riesgo,25205.67
2016-01-17,Fondo de Pensiones Retiro Programado,27616.03
2016-01-17,Fondo de Pensiones Alternativo,2606.88
2016-01-18,Fondo de Cesantias Largo Plazo,28041.03
2016-01-18,Fondo de Cesantias Corto Plazo,28962.62
2016-01-18,Fondo de Pensiones Moderado,26800.64
2016-01-18,Fondo de Pensiones Conservador,27212.7
2016-01-18,Fondo de Pensiones Mayor Riesgo,25041.03
2016-01-18,Fondo de Pensiones Retiro Programado,27561.22
2016-01-18,Fondo de Pensiones Alternativo,2596.4
2016-01-19,Fondo de Cesantias Largo Plazo,28150.4
2016-01-19,Fondo de Cesantias Corto Plazo,28964.65
2016-01-19,Fondo de Pensiones Moderado,26954.03
2016-01-19,Fondo de Pensiones Conservador,27270.41
2016-01-19,Fondo de Pensiones Mayor Riesgo,25223.72
2016-01-19,Fondo de Pensiones Retiro Programado,27618.32
2016-01-19,Fondo de Pensiones Alternativo,2609.92
2016-01-20,Fondo de Cesantias Largo Plazo,28035.81
2016-01-20,Fondo de Cesantias Corto Plazo,28980.08
2016-01-20,Fondo de Pensiones Moderado,26877.59
2016-01-20,Fondo de Pensiones Conservador,27162.2
2016-01-20,Fondo de Pensiones Mayor Riesgo,25037.81
2016-01-20,Fondo de Pensiones Retiro Programado,27492.89
2016-01-20,Fondo de Pensiones Alternativo,2615.04
2016-01-21,Fondo de Cesantias Largo Plazo,28152.67
2016-01-21,Fondo de Cesantias Corto Plazo,28973.17
2016-01-21,Fondo de Pensiones Moderado,27008.88
2016-01-21,Fondo de Pensiones Conservador,27212.02
2016-01-21,Fondo de Pensiones Mayor Riesgo,25198.01
2016-01-21,Fondo de Pensiones Retiro Programado,27551.04
2016-01-21,Fondo de Pensiones Alternativo,2626.56
2016-01-22,Fondo de Cesantias Largo Plazo,28386.48
2016-01-22,Fondo de Cesantias Corto Plazo,28978.53
2016-01-22,Fondo de Pensiones Moderado,27219.22
2016-01-22,Fondo de Pensiones Conservador,27341.14
2016-01-22,Fondo de Pensiones Mayor Riesgo,25623.78
2016-01-22,Fondo de Pensiones Retiro Programado,27677.8
2016-01-22,Fondo de Pensiones Alternativo,2629.58
2016-01-23,Fondo de Cesantias Largo Plazo,28389.24
2016-01-23,Fondo de Cesantias Corto Plazo,28988.47
2016-01-23,Fondo de Pensiones Moderado,27223.29
2016-01-23,Fondo de Pensiones Conservador,27347.5
2016-01-23,Fondo de Pensiones Mayor Riesgo,25626.84
2016-01-23,Fondo de Pensiones Retiro Programado,27684.67
2016-01-23,Fondo de Pensiones Alternativo,2629.9
2016-01-24,Fondo de Cesantias Largo Plazo,28392.08
2016-01-24,Fondo de Cesantias Corto Plazo,28993.76
2016-01-24,Fondo de Pensiones Moderado,27227.24
2016-01-24,Fondo de Pensiones Conservador,27353.87
2016-01-24,Fondo de Pensiones Mayor Riesgo,25629.92
2016-01-24,Fondo de Pensiones Retiro Programado,27691.38
2016-01-24,Fondo de Pensiones Alternativo,2630.22
2016-01-25,Fondo de Cesantias Largo Plazo,28330.0
2016-01-25,Fondo de Cesantias Corto Plazo,28999.91
2016-01-25,Fondo de Pensiones Moderado,27210.59
2016-01-25,Fondo de Pensiones Conservador,27327.72
2016-01-25,Fondo de Pensiones Mayor Riesgo,25538.91
2016-01-25,Fondo de Pensiones Retiro Programado,27659.9
2016-01-25,Fondo de Pensiones Alternativo,2641.76
2016-01-26,Fondo de Cesantias Largo Plazo,28429.04
2016-01-26,Fondo de Cesantias Corto Plazo,29008.26
2016-01-26,Fondo de Pensiones Moderado,27336.17
2016-01-26,Fondo de Pensiones Conservador,27379.19
2016-01-26,Fondo de Pensiones Mayor Riesgo,25700.05
2016-01-26,Fondo de Pensiones Retiro Programado,27722.19
2016-01-26,Fondo de Pensiones Alternativo,2654.51
2016-01-27,Fondo de Cesantias Largo Plazo,28437.88
2016-01-27,Fondo de Cesantias Corto Plazo,29013.65
2016-01-27,Fondo de Pensiones Moderado,27337.64
2016-01-27,Fondo de Pensiones Conservador,27385.24
2016-01-27,Fondo de Pensiones Mayor Riesgo,25710.85
2016-01-27,Fondo de Pensiones Retiro Programado,27726.75
2016-01-27,Fondo de Pensiones Alternativo,2652.42
2016-01-28,Fondo de Cesantias Largo Plazo,28461.28
2016-01-28,Fondo de Cesantias Corto Plazo,29019.26
2016-01-28,Fondo de Pensiones Moderado,27336.52
2016-01-28,Fondo de Pensiones Conservador,27393.55
2016-01-28,Fondo de Pensiones Mayor Riesgo,25729.05
2016-01-28,Fondo de Pensiones Retiro Programado,27744.06
2016-01-28,Fondo de Pensiones Alternativo,2641.82
2016-01-29,Fondo de Cesantias Largo Plazo,28598.78
2016-01-29,Fondo de Cesantias Corto Plazo,29025.24
2016-01-29,Fondo de Pensiones Moderado,27522.79
2016-01-29,Fondo de Pensiones Conservador,27478.81
2016-01-29,Fondo de Pensiones Mayor Riesgo,25963.52
2016-01-29,Fondo de Pensiones Retiro Programado,27814.31
2016-01-29,Fondo de Pensiones Alternativo,2654.17
2016-01-30,Fondo de Cesantias Largo Plazo,28601.66
2016-01-30,Fondo de Cesantias Corto Plazo,29031.02
2016-01-30,Fondo de Pensiones Moderado,27527.04
2016-01-30,Fondo de Pensiones Conservador,27485.12
2016-01-30,Fondo de Pensiones Mayor Riesgo,25966.32
2016-01-30,Fondo de Pensiones Retiro Programado,27821.15
2016-01-30,Fondo de Pensiones Alternativo,2654.48
2016-01-31,Fondo de Cesantias Largo Plazo,28604.1
2016-01-31,Fondo de Cesantias Corto Plazo,29036.12
2016-01-31,Fondo de Pensiones Moderado,27530.82
2016-01-31,Fondo de Pensiones Conservador,27491.39
2016-01-31,Fondo de Pensiones Mayor Riesgo,25968.94
2016-01-31,Fondo de Pensiones Retiro Programado,27827.84
2016-01-31,Fondo de Pensiones Alternativo,2654.78
2016-02-01,Fondo de Cesantias Largo Plazo,28609.43
2016-02-01,Fondo de Cesantias Corto Plazo,29037.07
2016-02-01,Fondo de Pensiones Moderado,27589.39
2016-02-01,Fondo de Pensiones Conservador,27493.83
2016-02-01,Fondo de Pensiones Mayor Riesgo,26019.89
2016-02-01,Fondo de Pensiones Retiro Programado,27818.24
2016-02-01,Fondo de Pensiones Alternativo,2665.83
2016-02-02,Fondo de Cesantias Largo Plazo,28477.56
2016-02-02,Fondo de Cesantias Corto Plazo,29039.94
2016-02-02,Fondo de Pensiones Moderado,27468.68
2016-02-02,Fondo de Pensiones Conservador,27436.07
2016-02-02,Fondo de Pensiones Mayor Riesgo,25775.5
2016-02-02,Fondo de Pensiones Retiro Programado,27761.17
2016-02-02,Fondo de Pensiones Alternativo,2667.03
2016-02-03,Fondo de Cesantias Largo Plazo,28457.4
2016-02-03,Fondo de Cesantias Corto Plazo,29042.69
2016-02-03,Fondo de Pensiones Moderado,27497.86
2016-02-03,Fondo de Pensiones Conservador,27399.67
2016-02-03,Fondo de Pensiones Mayor Riesgo,25762.96
2016-02-03,Fondo de Pensiones Retiro Programado,27749.29
2016-02-03,Fondo de Pensiones Alternativo,2669.27
2016-02-04,Fondo de Cesantias Largo Plazo,28441.1
2016-02-04,Fondo de Cesantias Corto Plazo,29051.5
2016-02-04,Fondo de Pensiones Moderado,27429.32
2016-02-04,Fondo de Pensiones Conservador,27372.74
2016-02-04,Fondo de Pensiones Mayor Riesgo,25729.95
2016-02-04,Fondo de Pensiones Retiro Programado,27718.91
2016-02-04,Fondo de Pensiones Alternativo,2653.16
2016-02-05,Fondo de Cesantias Largo Plazo,28414.36
2016-02-05,Fondo de Cesantias Corto Plazo,29051.36
2016-02-05,Fondo de Pensiones Moderado,27385.74
2016-02-05,Fondo de Pensiones Conservador,27346.16
2016-02-05,Fondo de Pensiones Mayor Riesgo,25667.77
2016-02-05,Fondo de Pensiones Retiro Programado,27694.23
2016-02-05,Fondo de Pensiones Alternativo,2649.03
2016-02-06,Fondo de Cesantias Largo Plazo,28417.26
2016-02-06,Fondo de Cesantias Corto Plazo,29055.93
2016-02-06,Fondo de Pensiones Moderado,27389.61
2016-02-06,Fondo de Pensiones Conservador,27352.49
2016-02-06,Fondo de Pensiones Mayor Riesgo,25670.69
