fecha,nombre_entidad,valor_unidad
2016-01-01,Skandia Afp - Accai S.A.,2637.3
2016-01-02,Skandia Afp - Accai S.A.,2637.63
2016-01-03,Skandia Afp - Accai S.A.,2637.93
2016-01-04,Skandia Afp - Accai S.A.,2629.92
2016-01-05,Skandia Afp - Accai S.A.,2627.32
2016-01-06,Skandia Afp - Accai S.A.,2636.79
2016-01-07,Skandia Afp - Accai S.A.,2624.32
2016-01-08,Skandia Afp - Accai S.A.,2608.98
2016-01-09,Skandia Afp - Accai S.A.,2609.29
2016-01-10,Skandia Afp - Accai S.A.,2609.6
2016-01-11,Skandia Afp - Accai S.A.,2609.91
2016-01-12,Skandia Afp - Accai S.A.,2599.92
2016-01-13,Skandia Afp - Accai S.A.,2597.41
2016-01-14,Skandia Afp - Accai S.A.,2615.57
2016-01-15,Skandia Afp - Accai S.A.,2606.26
2016-01-16,Skandia Afp - Accai S.A.,2606.57
2016-01-17,Skandia Afp - Accai S.A.,2606.88
2016-01-18,Skandia Afp - Accai S.A.,2596.4
2016-01-19,Skandia Afp - Accai S.A.,2609.92
2016-01-20,Skandia Afp - Accai S.A.,2615.04
2016-01-21,Skandia Afp - Accai S.A.,2626.56
2016-01-22,Skandia Afp - Accai S.A.,2629.58
2016-01-23,Skandia Afp - Accai S.A.,2629.9
2016-01-24,Skandia Afp - Accai S.A.,2630.22
2016-01-25,Skandia Afp - Accai S.A.,2641.76
2016-01-26,Skandia Afp - Accai S.A.,2654.51
2016-01-27,Skandia Afp - Accai S.A.,2652.42
2016-01-28,Skandia Afp - Accai S.A.,2641.82
2016-01-29,Skandia Afp - Accai S.A.,2654.17
2016-01-30,Skandia Afp - Accai S.A.,2654.48
2016-01-31,Skandia Afp - Accai S.A.,2654.78
2016-02-01,Skandia Afp - Accai S.A.,2665.83
2016-02-02,Skandia Afp - Accai S.A.,2667.03
2016-02-03,Skandia Afp - Accai S.A.,2669.27
2016-02-04,Skandia Afp - Accai S.A.,2653.16
2016-02-05,Skandia Afp - Accai S.A.,2649.03
2016-02-06,Skandia Afp - Accai S.A.,2649.34
2016-02-07,Skandia Afp - Accai S.A.,2649.66
2016-02-08,Skandia Afp - Accai S.A.,2651.48
2016-02-09,Skandia Afp - Accai S.A.,2652.2
2016-02-10,Skandia Afp - Accai S.A.,2647.87
2016-02-11,Skandia Afp - Accai S.A.,2647.79
2016-02-12,Skandia Afp - Accai S.A.,2654.0
2016-02-13,Skandia Afp - Accai S.A.,2654.23
2016-02-14,Skandia Afp - Accai S.A.,2654.56
2016-02-15,Skandia Afp - Accai S.A.,2656.3
2016-02-16,Skandia Afp - Accai S.A.,2664.37
2016-02-17,Skandia Afp - Accai S.A.,2680.79
2016-02-18,Skandia Afp - Accai S.A.,2666.34
2016-02-19,Skandia Afp - Accai S.A.,2670.2
2016-02-20,Skandia Afp - Accai S.A.,2670.62
2016-02-21,Skandia Afp - Accai S.A.,2671.03
2016-02-22,Skandia Afp - Accai S.A.,2669.24
2016-02-23,Skandia Afp - Accai S.A.,2663.36
2016-02-24,Skandia Afp - Accai S.A.,2667.88
2016-02-25,Skandia Afp - Accai S.A.,2672.24
2016-02-26,Skandia Afp - Accai S.A.,2674.04
2016-02-27,Skandia Afp - Accai S.A.,2674.46
2016-02-28,Skandia Afp - Accai S.A.,2674.88
2016-02-29,Skandia Afp - Accai S.A.,2673.47
2016-03-01,Skandia Afp - Accai S.A.,2679.41
2016-03-02,Skandia Afp - Accai S.A.,2674.23
2016-03-03,Skandia Afp - Accai S.A.,2686.12
2016-03-04,Skandia Afp - Accai S.A.,2681.62
2016-03-05,Skandia Afp - Accai S.A.,2682.03
2016-03-06,Skandia Afp - Accai S.A.,2682.44
2016-03-07,Skandia Afp - Accai S.A.,2681.81
2016-03-08,Skandia Afp - Accai S.A.,2676.48
2016-03-09,Skandia Afp - Accai S.A.,2692.4
2016-03-10,Skandia Afp - Accai S.A.,2700.39
2016-03-11,Skandia Afp - Accai S.A.,2705.57
2016-03-12,Skandia Afp - Accai S.A.,2705.96
2016-03-13,Skandia Afp - Accai S.A.,2706.38
2016-03-14,Skandia Afp - Accai S.A.,2706.93
2016-03-15,Skandia Afp - Accai S.A.,2697.21
2016-03-16,Skandia Afp - Accai S.A.,2698.46
2016-03-17,Skandia Afp - Accai S.A.,2689.36
2016-03-18,Skandia Afp - Accai S.A.,2692.01
2016-03-19,Skandia Afp - Accai S.A.,2692.41
2016-03-20,Skandia Afp - Accai S.A.,2692.81
2016-03-21,Skandia Afp - Accai S.A.,2693.21
2016-03-22,Skandia Afp - Accai S.A.,2689.33
2016-03-23,Skandia Afp - Accai S.A.,2686.49
2016-03-24,Skandia Afp - Accai S.A.,2686.89
2016-03-25,Skandia Afp - Accai S.A.,2687.29
2016-03-26,Skandia Afp - Accai S.A.,2687.7
2016-03-27,Skandia Afp - Accai S.A.,2688.11
2016-03-28,Skandia Afp - Accai S.A.,2678.27
2016-03-29,Skandia Afp - Accai S.A.,2683.85
2016-03-30,Skandia Afp - Accai S.A.,2687.86
2016-03-31,Skandia Afp - Accai S.A.,2683.79
2016-04-01,Skandia Afp - Accai S.A.,2693.38
2016-04-02,Skandia Afp - Accai S.A.,2693.77
2016-04-03,Skandia Afp - Accai S.A.,2694.16
2016-04-04,Skandia Afp - Accai S.A.,2703.5
2016-04-05,Skandia Afp - Accai S.A.,2693.04
2016-04-06,Skandia Afp - Accai S.A.,2700.87
2016-04-07,Skandia Afp - Accai S.A.,2696.69
2016-04-08,Skandia Afp - Accai S.A.,2697.54
2016-04-09,Skandia Afp - Accai S.A.,2697.93
2016-04-10,Skandia Afp - Accai S.A.,2698.33
2016-04-11,Skandia Afp - Accai S.A.,2697.2
2016-04-12,Skandia Afp - Accai S.A.,2710.53
2016-04-13,Skandia Afp - Accai S.A.,2714.01
2016-04-14,Skandia Afp - Accai S.A.,2710.9
2016-04-15,Skandia Afp - Accai S.A.,2705.7
2016-04-16,Skandia Afp - Accai S.A.,2706.05
2016-04-17,Skandia Afp - Accai S.A.,2706.39
2016-04-18,Skandia Afp - Accai S.A.,2710.99
2016-04-19,Skandia Afp - Accai S.A.,2695.45
2016-04-20,Skandia Afp - Accai S.A.,2695.24
2016-04-21,Skandia Afp - Accai S.A.,2699.25
2016-04-22,Skandia Afp - Accai S.A.,2702.9
2016-04-23,Skandia Afp - Accai S.A.,2703.26
2016-04-24,Skandia Afp - Accai S.A.,2703.62
2016-04-25,Skandia Afp - Accai S.A.,2702.55
2016-04-26,Skandia Afp - Accai S.A.,2702.67
2016-04-27,Skandia Afp - Accai S.A.,2704.51
2016-04-28,Skandia Afp - Accai S.A.,2681.2
2016-04-29,Skandia Afp - Accai S.A.,2662.45
2016-04-30,Skandia Afp - Accai S.A.,2662.81
2016-05-01,Skandia Afp - Accai S.A.,2663.17
2016-05-02,Skandia Afp - Accai S.A.,2658.4
2016-05-03,Skandia Afp - Accai S.A.,2660.88
2016-05-04,Skandia Afp - Accai S.A.,2667.55
2016-05-05,Skandia Afp - Accai S.A.,2663.2
2016-05-06,Skandia Afp - Accai S.A.,2672.35
2016-05-07,Skandia Afp - Accai S.A.,2672.71
2016-05-08,Skandia Afp - Accai S.A.,2673.07
2016-05-09,Skandia Afp - Accai S.A.,2673.43
2016-05-10,Skandia Afp - Accai S.A.,2695.36
2016-05-11,Skandia Afp - Accai S.A.,2689.35
2016-05-12,Skandia Afp - Accai S.A.,2690.74
2016-05-13,Skandia Afp - Accai S.A.,2699.21
2016-05-14,Skandia Afp - Accai S.A.,2699.58
2016-05-15,Skandia Afp - Accai S.A.,2699.95
2016-05-16,Skandia Afp - Accai S.A.,2716.81
2016-05-17,Skandia Afp - Accai S.A.,2712.91
2016-05-18,Skandia Afp - Accai S.A.,2709.16
2016-05-19,Skandia Afp - Accai S.A.,2709.99
2016-05-20,Skandia Afp - Accai S.A.,2711.87
2016-05-21,Skandia Afp - Accai S.A.,2712.2
2016-05-22,Skandia Afp - Accai S.A.,2712.55
2016-05-23,Skandia Afp - Accai S.A.,2715.04
2016-05-24,Skandia Afp - Accai S.A.,2721.29
2016-05-25,Skandia Afp - Accai S.A.,2725.96
2016-05-26,Skandia Afp - Accai S.A.,2725.13
2016-05-27,Skandia Afp - Accai S.A.,2731.46
2016-05-28,Skandia Afp - Accai S.A.,2731.79
2016-05-29,Skandia Afp - Accai S.A.,2732.11
2016-05-30,Skandia Afp - Accai S.A.,2732.41
2016-05-31,Skandia Afp - Accai S.A.,2737.41
2016-06-01,Skandia Afp - Accai S.A.,2750.12
2016-06-02,Skandia Afp - Accai S.A.,2750.37
2016-06-03,Skandia Afp - Accai S.A.,2725.12
2016-06-04,Skandia Afp - Accai S.A.,2725.45
2016-06-05,Skandia Afp - Accai S.A.,2725.79
2016-06-06,Skandia Afp - Accai S.A.,2726.12
2016-06-07,Skandia Afp - Accai S.A.,2715.85
2016-06-08,Skandia Afp - Accai S.A.,2710.24
2016-06-09,Skandia Afp - Accai S.A.,2715.11
2016-06-10,Skandia Afp - Accai S.A.,2705.61
2016-06-11,Skandia Afp - Accai S.A.,2705.95
2016-06-12,Skandia Afp - Accai S.A.,2706.28
2016-06-13,Skandia Afp - Accai S.A.,2702.81
2016-06-14,Skandia Afp - Accai S.A.,2696.9
2016-06-15,Skandia Afp - Accai S.A.,2695.42
2016-06-16,Skandia Afp - Accai S.A.,2705.94
2016-06-17,Skandia Afp - Accai S.A.,2707.71
2016-06-18,Skandia Afp - Accai S.A.,2708.04
2016-06-19,Skandia Afp - Accai S.A.,2708.37
2016-06-20,Skandia Afp - Accai S.A.,2708.54
2016-06-21,Skandia Afp - Accai S.A.,2715.52
2016-06-22,Skandia Afp - Accai S.A.,2698.36
2016-06-23,Skandia Afp - Accai S.A.,2699.64
2016-06-24,Skandia Afp - Accai S.A.,2680.01
2016-06-25,Skandia Afp - Accai S.A.,2680.34
2016-06-26,Skandia Afp - Accai S.A.,2680.66
2016-06-27,Skandia Afp - Accai S.A.,2680.42
2016-06-28,Skandia Afp - Accai S.A.,2696.94
2016-06-29,Skandia Afp - Accai S.A.,2693.18
2016-06-30,Skandia Afp - Accai S.A.,2706.18
2016-07-01,Skandia Afp - Accai S.A.,2709.52
2016-07-02,Skandia Afp - Accai S.A.,2709.85
2016-07-03,Skandia Afp - Accai S.A.,2710.17
2016-07-04,Skandia Afp - Accai S.A.,2710.5
2016-07-05,Skandia Afp - Accai S.A.,2715.9
2016-07-06,Skandia Afp - Accai S.A.,2731.46
2016-07-07,Skandia Afp - Accai S.A.,2722.27
2016-07-08,Skandia Afp - Accai S.A.,2719.84
2016-07-09,Skandia Afp - Accai S.A.,2720.16
2016-07-10,Skandia Afp - Accai S.A.,2720.49
2016-07-11,Skandia Afp - Accai S.A.,2722.45
2016-07-12,Skandia Afp - Accai S.A.,2727.1
2016-07-13,Skandia Afp - Accai S.A.,2737.83
