fecha,nombre_entidad,valor_unidad
2016-01-01,"""Proteccion""",39752.14
2016-01-01,"""Porvenir""",36504.7
2016-01-01,Skandia Afp - Accai S.A.,27990.58
2016-01-01,"""Colfondos S.A."" Y ""Colfondos""",32370.29
2016-01-02,"""Proteccion""",39761.39
2016-01-02,"""Porvenir""",36513.14
2016-01-02,Skandia Afp - Accai S.A.,27997.18
2016-01-02,"""Colfondos S.A."" Y ""Colfondos""",32377.99
2016-01-03,"""Proteccion""",39770.67
2016-01-03,"""Porvenir""",36521.56
2016-01-03,Skandia Afp - Accai S.A.,28003.72
2016-01-03,"""Colfondos S.A."" Y ""Colfondos""",32385.73
2016-01-04,"""Proteccion""",39605.43
2016-01-04,"""Porvenir""",36376.35
2016-01-04,Skandia Afp - Accai S.A.,27881.18
2016-01-04,"""Colfondos S.A."" Y ""Colfondos""",32239.97
2016-01-05,"""Proteccion""",39595.27
2016-01-05,"""Porvenir""",36377.95
2016-01-05,Skandia Afp - Accai S.A.,27861.8
2016-01-05,"""Colfondos S.A."" Y ""Colfondos""",32232.35
2016-01-06,"""Proteccion""",39523.17
2016-01-06,"""Porvenir""",36319.69
2016-01-06,Skandia Afp - Accai S.A.,27812.39
2016-01-06,"""Colfondos S.A."" Y ""Colfondos""",32164.7
2016-01-07,"""Proteccion""",39311.93
2016-01-07,"""Porvenir""",36141.88
2016-01-07,Skandia Afp - Accai S.A.,27686.48
2016-01-07,"""Colfondos S.A."" Y ""Colfondos""",31986.04
2016-01-08,"""Proteccion""",39238.68
2016-01-08,"""Porvenir""",36073.38
2016-01-08,Skandia Afp - Accai S.A.,27640.71
2016-01-08,"""Colfondos S.A."" Y ""Colfondos""",31925.87
2016-01-09,"""Proteccion""",39247.93
2016-01-09,"""Porvenir""",36082.11
2016-01-09,Skandia Afp - Accai S.A.,27647.34
2016-01-09,"""Colfondos S.A."" Y ""Colfondos""",31933.61
2016-01-10,"""Proteccion""",39257.21
2016-01-10,"""Porvenir""",36091.47
2016-01-10,Skandia Afp - Accai S.A.,27653.84
2016-01-10,"""Colfondos S.A."" Y ""Colfondos""",31941.14
2016-01-11,"""Proteccion""",39266.36
2016-01-11,"""Porvenir""",36102.93
2016-01-11,Skandia Afp - Accai S.A.,27660.46
2016-01-11,"""Colfondos S.A."" Y ""Colfondos""",31948.83
2016-01-12,"""Proteccion""",39215.44
2016-01-12,"""Porvenir""",36044.79
2016-01-12,Skandia Afp - Accai S.A.,27639.99
2016-01-12,"""Colfondos S.A."" Y ""Colfondos""",31902.29
2016-01-13,"""Proteccion""",39215.03
2016-01-13,"""Porvenir""",36040.43
2016-01-13,Skandia Afp - Accai S.A.,27627.88
2016-01-13,"""Colfondos S.A."" Y ""Colfondos""",31881.33
2016-01-14,"""Proteccion""",39310.63
2016-01-14,"""Porvenir""",36131.16
2016-01-14,Skandia Afp - Accai S.A.,27715.08
2016-01-14,"""Colfondos S.A."" Y ""Colfondos""",31967.78
2016-01-15,"""Proteccion""",39133.29
2016-01-15,"""Porvenir""",35979.21
2016-01-15,Skandia Afp - Accai S.A.,27601.47
2016-01-15,"""Colfondos S.A."" Y ""Colfondos""",31819.25
2016-01-16,"""Proteccion""",39142.93
2016-01-16,"""Porvenir""",35987.99
2016-01-16,Skandia Afp - Accai S.A.,27608.33
2016-01-16,"""Colfondos S.A."" Y ""Colfondos""",31827.15
2016-01-17,"""Proteccion""",39152.4
2016-01-17,"""Porvenir""",35996.7
2016-01-17,Skandia Afp - Accai S.A.,27616.03
2016-01-17,"""Colfondos S.A."" Y ""Colfondos""",31835.01
2016-01-18,"""Proteccion""",39056.58
2016-01-18,"""Porvenir""",35908.95
2016-01-18,Skandia Afp - Accai S.A.,27561.22
2016-01-18,"""Colfondos S.A."" Y ""Colfondos""",31763.15
2016-01-19,"""Proteccion""",39142.36
2016-01-19,"""Porvenir""",35981.88
2016-01-19,Skandia Afp - Accai S.A.,27618.32
2016-01-19,"""Colfondos S.A."" Y ""Colfondos""",31802.08
2016-01-20,"""Proteccion""",38953.62
2016-01-20,"""Porvenir""",35819.53
2016-01-20,Skandia Afp - Accai S.A.,27492.89
2016-01-20,"""Colfondos S.A."" Y ""Colfondos""",31616.08
2016-01-21,"""Proteccion""",39035.21
2016-01-21,"""Porvenir""",35911.02
2016-01-21,Skandia Afp - Accai S.A.,27551.04
2016-01-21,"""Colfondos S.A."" Y ""Colfondos""",31679.77
2016-01-22,"""Proteccion""",39223.19
2016-01-22,"""Porvenir""",36082.9
2016-01-22,Skandia Afp - Accai S.A.,27677.8
2016-01-22,"""Colfondos S.A."" Y ""Colfondos""",31851.97
2016-01-23,"""Proteccion""",39232.68
2016-01-23,"""Porvenir""",36091.66
2016-01-23,Skandia Afp - Accai S.A.,27684.67
2016-01-23,"""Colfondos S.A."" Y ""Colfondos""",31859.91
2016-01-24,"""Proteccion""",39242.1
2016-01-24,"""Porvenir""",36100.42
2016-01-24,Skandia Afp - Accai S.A.,27691.38
2016-01-24,"""Colfondos S.A."" Y ""Colfondos""",31867.78
2016-01-25,"""Proteccion""",39232.88
2016-01-25,"""Porvenir""",36085.51
2016-01-25,Skandia Afp - Accai S.A.,27659.9
2016-01-25,"""Colfondos S.A."" Y ""Colfondos""",31860.73
2016-01-26,"""Proteccion""",39318.93
2016-01-26,"""Porvenir""",36160.46
2016-01-26,Skandia Afp - Accai S.A.,27722.19
2016-01-26,"""Colfondos S.A."" Y ""Colfondos""",31943.37
2016-01-27,"""Proteccion""",39336.46
2016-01-27,"""Porvenir""",36185.03
2016-01-27,Skandia Afp - Accai S.A.,27726.75
2016-01-27,"""Colfondos S.A."" Y ""Colfondos""",31965.2
2016-01-28,"""Proteccion""",39367.03
2016-01-28,"""Porvenir""",36196.3
2016-01-28,Skandia Afp - Accai S.A.,27744.06
2016-01-28,"""Colfondos S.A."" Y ""Colfondos""",31989.93
2016-01-29,"""Proteccion""",39464.3
2016-01-29,"""Porvenir""",36295.24
2016-01-29,Skandia Afp - Accai S.A.,27814.31
2016-01-29,"""Colfondos S.A."" Y ""Colfondos""",32069.34
2016-01-30,"""Proteccion""",39473.72
2016-01-30,"""Porvenir""",36304.17
2016-01-30,Skandia Afp - Accai S.A.,27821.15
2016-01-30,"""Colfondos S.A."" Y ""Colfondos""",32077.27
2016-01-31,"""Proteccion""",39482.99
2016-01-31,"""Porvenir""",36312.85
2016-01-31,Skandia Afp - Accai S.A.,27827.84
2016-01-31,"""Colfondos S.A."" Y ""Colfondos""",32084.75
2016-02-01,"""Proteccion""",39500.41
2016-02-01,"""Porvenir""",36319.81
2016-02-01,Skandia Afp - Accai S.A.,27818.24
2016-02-01,"""Colfondos S.A."" Y ""Colfondos""",32082.28
2016-02-02,"""Proteccion""",39416.67
2016-02-02,"""Porvenir""",36232.0
2016-02-02,Skandia Afp - Accai S.A.,27761.17
2016-02-02,"""Colfondos S.A."" Y ""Colfondos""",31991.04
2016-02-03,"""Proteccion""",39407.95
2016-02-03,"""Porvenir""",36212.17
2016-02-03,Skandia Afp - Accai S.A.,27749.29
2016-02-03,"""Colfondos S.A."" Y ""Colfondos""",31984.68
2016-02-04,"""Proteccion""",39283.64
2016-02-04,"""Porvenir""",36147.62
2016-02-04,Skandia Afp - Accai S.A.,27718.91
2016-02-04,"""Colfondos S.A."" Y ""Colfondos""",31915.08
2016-02-05,"""Proteccion""",39241.94
2016-02-05,"""Porvenir""",36113.98
2016-02-05,Skandia Afp - Accai S.A.,27694.23
2016-02-05,"""Colfondos S.A."" Y ""Colfondos""",31883.27
2016-02-06,"""Proteccion""",39251.46
2016-02-06,"""Porvenir""",36122.87
2016-02-06,Skandia Afp - Accai S.A.,27701.07
2016-02-06,"""Colfondos S.A."" Y ""Colfondos""",31891.21
2016-02-07,"""Proteccion""",39260.89
2016-02-07,"""Porvenir""",36131.95
2016-02-07,Skandia Afp - Accai S.A.,27707.95
2016-02-07,"""Colfondos S.A."" Y ""Colfondos""",31899.07
2016-02-08,"""Proteccion""",39186.99
2016-02-08,"""Porvenir""",36062.61
2016-02-08,Skandia Afp - Accai S.A.,27646.88
2016-02-08,"""Colfondos S.A."" Y ""Colfondos""",31825.98
2016-02-09,"""Proteccion""",39061.97
2016-02-09,"""Porvenir""",35966.07
