fecha,nombre_fondo,valor_unidad
2016-01-01,Fondo de Cesantias Largo Plazo,27382.34
2016-01-01,Fondo de Cesantias Corto Plazo,26546.21
2016-01-01,Fondo de Pensiones Moderado,34476.39
2016-01-01,Fondo de Pensiones Conservador,36085.18
2016-01-01,Fondo de Pensiones Mayor Riesgo,34343.51
2016-01-01,Fondo de Pensiones Retiro Programado,36504.7
2016-01-02,Fondo de Cesantias Largo Plazo,27384.66
2016-01-02,Fondo de Cesantias Corto Plazo,26549.05
2016-01-02,Fondo de Pensiones Moderado,34480.89
2016-01-02,Fondo de Pensiones Conservador,36093.0
2016-01-02,Fondo de Pensiones Mayor Riesgo,34347.12
2016-01-02,Fondo de Pensiones Retiro Programado,36513.14
2016-01-03,Fondo de Cesantias Largo Plazo,27386.98
2016-01-03,Fondo de Cesantias Corto Plazo,26551.96
2016-01-03,Fondo de Pensiones Moderado,34485.36
2016-01-03,Fondo de Pensiones Conservador,36100.84
2016-01-03,Fondo de Pensiones Mayor Riesgo,34350.74
2016-01-03,Fondo de Pensiones Retiro Programado,36521.56
2016-01-04,Fondo de Cesantias Largo Plazo,27172.99
2016-01-04,Fondo de Cesantias Corto Plazo,26549.91
2016-01-04,Fondo de Pensiones Moderado,34314.07
2016-01-04,Fondo de Pensiones Conservador,35949.16
2016-01-04,Fondo de Pensiones Mayor Riesgo,33944.57
2016-01-04,Fondo de Pensiones Retiro Programado,36376.35
2016-01-05,Fondo de Cesantias Largo Plazo,27217.27
2016-01-05,Fondo de Cesantias Corto Plazo,26553.76
2016-01-05,Fondo de Pensiones Moderado,34329.28
2016-01-05,Fondo de Pensiones Conservador,35954.54
2016-01-05,Fondo de Pensiones Mayor Riesgo,33957.25
2016-01-05,Fondo de Pensiones Retiro Programado,36377.95
2016-01-06,Fondo de Cesantias Largo Plazo,27108.71
2016-01-06,Fondo de Cesantias Corto Plazo,26563.93
2016-01-06,Fondo de Pensiones Moderado,34260.63
2016-01-06,Fondo de Pensiones Conservador,35892.0
2016-01-06,Fondo de Pensiones Mayor Riesgo,33757.03
2016-01-06,Fondo de Pensiones Retiro Programado,36319.69
2016-01-07,Fondo de Cesantias Largo Plazo,26910.32
2016-01-07,Fondo de Cesantias Corto Plazo,26562.93
2016-01-07,Fondo de Pensiones Moderado,34008.5
2016-01-07,Fondo de Pensiones Conservador,35735.06
2016-01-07,Fondo de Pensiones Mayor Riesgo,33327.2
2016-01-07,Fondo de Pensiones Retiro Programado,36141.88
2016-01-08,Fondo de Cesantias Largo Plazo,26803.13
2016-01-08,Fondo de Cesantias Corto Plazo,26562.01
2016-01-08,Fondo de Pensiones Moderado,33799.46
2016-01-08,Fondo de Pensiones Conservador,35667.2
2016-01-08,Fondo de Pensiones Mayor Riesgo,33052.22
2016-01-08,Fondo de Pensiones Retiro Programado,36073.38
2016-01-09,Fondo de Cesantias Largo Plazo,26805.52
2016-01-09,Fondo de Cesantias Corto Plazo,26566.48
2016-01-09,Fondo de Pensiones Moderado,33804.05
2016-01-09,Fondo de Pensiones Conservador,35675.24
2016-01-09,Fondo de Pensiones Mayor Riesgo,33055.79
2016-01-09,Fondo de Pensiones Retiro Programado,36082.11
2016-01-10,Fondo de Cesantias Largo Plazo,26808.4
2016-01-10,Fondo de Cesantias Corto Plazo,26569.81
2016-01-10,Fondo de Pensiones Moderado,33808.55
2016-01-10,Fondo de Pensiones Conservador,35683.53
2016-01-10,Fondo de Pensiones Mayor Riesgo,33059.38
2016-01-10,Fondo de Pensiones Retiro Programado,36091.47
2016-01-11,Fondo de Cesantias Largo Plazo,26810.74
2016-01-11,Fondo de Cesantias Corto Plazo,26573.17
2016-01-11,Fondo de Pensiones Moderado,33813.13
2016-01-11,Fondo de Pensiones Conservador,35691.28
2016-01-11,Fondo de Pensiones Mayor Riesgo,33062.92
2016-01-11,Fondo de Pensiones Retiro Programado,36102.93
2016-01-12,Fondo de Cesantias Largo Plazo,26734.59
2016-01-12,Fondo de Cesantias Corto Plazo,26578.86
2016-01-12,Fondo de Pensiones Moderado,33657.19
2016-01-12,Fondo de Pensiones Conservador,35645.77
2016-01-12,Fondo de Pensiones Mayor Riesgo,32910.12
2016-01-12,Fondo de Pensiones Retiro Programado,36044.79
2016-01-13,Fondo de Cesantias Largo Plazo,26768.36
2016-01-13,Fondo de Cesantias Corto Plazo,26584.5
2016-01-13,Fondo de Pensiones Moderado,33692.13
2016-01-13,Fondo de Pensiones Conservador,35641.42
2016-01-13,Fondo de Pensiones Mayor Riesgo,32958.47
2016-01-13,Fondo de Pensiones Retiro Programado,36040.43
2016-01-14,Fondo de Cesantias Largo Plazo,26900.5
2016-01-14,Fondo de Cesantias Corto Plazo,26588.76
2016-01-14,Fondo de Pensiones Moderado,33846.71
2016-01-14,Fondo de Pensiones Conservador,35745.58
2016-01-14,Fondo de Pensiones Mayor Riesgo,33253.2
2016-01-14,Fondo de Pensiones Retiro Programado,36131.16
2016-01-15,Fondo de Cesantias Largo Plazo,26681.39
2016-01-15,Fondo de Cesantias Corto Plazo,26593.19
2016-01-15,Fondo de Pensiones Moderado,33636.17
2016-01-15,Fondo de Pensiones Conservador,35604.78
2016-01-15,Fondo de Pensiones Mayor Riesgo,32768.98
2016-01-15,Fondo de Pensiones Retiro Programado,35979.21
2016-01-16,Fondo de Cesantias Largo Plazo,26683.95
2016-01-16,Fondo de Cesantias Corto Plazo,26596.67
2016-01-16,Fondo de Pensiones Moderado,33641.56
2016-01-16,Fondo de Pensiones Conservador,35612.84
2016-01-16,Fondo de Pensiones Mayor Riesgo,32772.8
2016-01-16,Fondo de Pensiones Retiro Programado,35987.99
2016-01-17,Fondo de Cesantias Largo Plazo,26686.49
2016-01-17,Fondo de Cesantias Corto Plazo,26601.6
2016-01-17,Fondo de Pensiones Moderado,33646.23
2016-01-17,Fondo de Pensiones Conservador,35621.28
2016-01-17,Fondo de Pensiones Mayor Riesgo,32776.6
2016-01-17,Fondo de Pensiones Retiro Programado,35996.7
2016-01-18,Fondo de Cesantias Largo Plazo,26591.36
2016-01-18,Fondo de Cesantias Corto Plazo,26605.18
2016-01-18,Fondo de Pensiones Moderado,33464.81
2016-01-18,Fondo de Pensiones Conservador,35550.26
2016-01-18,Fondo de Pensiones Mayor Riesgo,32556.73
2016-01-18,Fondo de Pensiones Retiro Programado,35908.95
2016-01-19,Fondo de Cesantias Largo Plazo,26712.23
2016-01-19,Fondo de Cesantias Corto Plazo,26605.89
2016-01-19,Fondo de Pensiones Moderado,33653.09
2016-01-19,Fondo de Pensiones Conservador,35636.24
2016-01-19,Fondo de Pensiones Mayor Riesgo,32867.15
2016-01-19,Fondo de Pensiones Retiro Programado,35981.88
2016-01-20,Fondo de Cesantias Largo Plazo,26567.44
2016-01-20,Fondo de Cesantias Corto Plazo,26610.05
2016-01-20,Fondo de Pensiones Moderado,33549.94
2016-01-20,Fondo de Pensiones Conservador,35516.78
2016-01-20,Fondo de Pensiones Mayor Riesgo,32632.94
2016-01-20,Fondo de Pensiones Retiro Programado,35819.53
2016-01-21,Fondo de Cesantias Largo Plazo,26669.85
2016-01-21,Fondo de Cesantias Corto Plazo,26611.71
2016-01-21,Fondo de Pensiones Moderado,33707.87
