fecha,nombre_fondo,valor_unidad
2016-01-01,Fondo de Cesantias Largo Plazo,23375.96
2016-01-01,Fondo de Cesantias Corto Plazo,23322.6
2016-01-01,Fondo de Pensiones Moderado,37972.06
2016-01-01,Fondo de Pensiones Conservador,39207.35
2016-01-01,Fondo de Pensiones Mayor Riesgo,38410.19
2016-01-01,Fondo de Pensiones Retiro Programado,39752.14
2016-01-02,Fondo de Cesantias Largo Plazo,23377.89
2016-01-02,Fondo de Cesantias Corto Plazo,23325.08
2016-01-02,Fondo de Pensiones Moderado,37977.34
2016-01-02,Fondo de Pensiones Conservador,39215.77
2016-01-02,Fondo de Pensiones Mayor Riesgo,38414.4
2016-01-02,Fondo de Pensiones Retiro Programado,39761.39
2016-01-03,Fondo de Cesantias Largo Plazo,23379.73
2016-01-03,Fondo de Cesantias Corto Plazo,23327.55
2016-01-03,Fondo de Pensiones Moderado,37982.46
2016-01-03,Fondo de Pensiones Conservador,39224.15
2016-01-03,Fondo de Pensiones Mayor Riesgo,38418.67
2016-01-03,Fondo de Pensiones Retiro Programado,39770.67
2016-01-04,Fondo de Cesantias Largo Plazo,23197.08
2016-01-04,Fondo de Cesantias Corto Plazo,23331.78
2016-01-04,Fondo de Pensiones Moderado,37702.93
2016-01-04,Fondo de Pensiones Conservador,39047.74
2016-01-04,Fondo de Pensiones Mayor Riesgo,37938.37
2016-01-04,Fondo de Pensiones Retiro Programado,39605.43
2016-01-05,Fondo de Cesantias Largo Plazo,23232.82
2016-01-05,Fondo de Cesantias Corto Plazo,23333.91
2016-01-05,Fondo de Pensiones Moderado,37751.98
2016-01-05,Fondo de Pensiones Conservador,39045.5
2016-01-05,Fondo de Pensiones Mayor Riesgo,38014.77
2016-01-05,Fondo de Pensiones Retiro Programado,39595.27
2016-01-06,Fondo de Cesantias Largo Plazo,23137.37
2016-01-06,Fondo de Cesantias Corto Plazo,23339.2
2016-01-06,Fondo de Pensiones Moderado,37648.44
2016-01-06,Fondo de Pensiones Conservador,38967.72
2016-01-06,Fondo de Pensiones Mayor Riesgo,37768.72
2016-01-06,Fondo de Pensiones Retiro Programado,39523.17
2016-01-07,Fondo de Cesantias Largo Plazo,22952.25
2016-01-07,Fondo de Cesantias Corto Plazo,23341.79
2016-01-07,Fondo de Pensiones Moderado,37352.34
2016-01-07,Fondo de Pensiones Conservador,38786.42
2016-01-07,Fondo de Pensiones Mayor Riesgo,37287.48
2016-01-07,Fondo de Pensiones Retiro Programado,39311.93
2016-01-08,Fondo de Cesantias Largo Plazo,22874.02
2016-01-08,Fondo de Cesantias Corto Plazo,23349.3
2016-01-08,Fondo de Pensiones Moderado,37141.78
2016-01-08,Fondo de Pensiones Conservador,38710.28
2016-01-08,Fondo de Pensiones Mayor Riesgo,37024.4
2016-01-08,Fondo de Pensiones Retiro Programado,39238.68
2016-01-09,Fondo de Cesantias Largo Plazo,22875.84
2016-01-09,Fondo de Cesantias Corto Plazo,23351.84
2016-01-09,Fondo de Pensiones Moderado,37147.07
2016-01-09,Fondo de Pensiones Conservador,38718.97
2016-01-09,Fondo de Pensiones Mayor Riesgo,37027.45
2016-01-09,Fondo de Pensiones Retiro Programado,39247.93
2016-01-10,Fondo de Cesantias Largo Plazo,22877.74
2016-01-10,Fondo de Cesantias Corto Plazo,23354.35
2016-01-10,Fondo de Pensiones Moderado,37152.28
2016-01-10,Fondo de Pensiones Conservador,38727.38
2016-01-10,Fondo de Pensiones Mayor Riesgo,37031.06
2016-01-10,Fondo de Pensiones Retiro Programado,39257.21
2016-01-11,Fondo de Cesantias Largo Plazo,22879.81
2016-01-11,Fondo de Cesantias Corto Plazo,23356.89
2016-01-11,Fondo de Pensiones Moderado,37157.55
2016-01-11,Fondo de Pensiones Conservador,38735.6
2016-01-11,Fondo de Pensiones Mayor Riesgo,37034.87
2016-01-11,Fondo de Pensiones Retiro Programado,39266.36
2016-01-12,Fondo de Cesantias Largo Plazo,22815.33
2016-01-12,Fondo de Cesantias Corto Plazo,23360.28
2016-01-12,Fondo de Pensiones Moderado,36977.11
2016-01-12,Fondo de Pensiones Conservador,38680.73
2016-01-12,Fondo de Pensiones Mayor Riesgo,36855.53
2016-01-12,Fondo de Pensiones Retiro Programado,39215.44
2016-01-13,Fondo de Cesantias Largo Plazo,22852.97
2016-01-13,Fondo de Cesantias Corto Plazo,23363.79
2016-01-13,Fondo de Pensiones Moderado,37003.54
2016-01-13,Fondo de Pensiones Conservador,38697.56
2016-01-13,Fondo de Pensiones Mayor Riesgo,36927.2
2016-01-13,Fondo de Pensiones Retiro Programado,39215.03
2016-01-14,Fondo de Cesantias Largo Plazo,22967.12
2016-01-14,Fondo de Cesantias Corto Plazo,23368.52
2016-01-14,Fondo de Pensiones Moderado,37186.38
2016-01-14,Fondo de Pensiones Conservador,38798.85
2016-01-14,Fondo de Pensiones Mayor Riesgo,37173.19
2016-01-14,Fondo de Pensiones Retiro Programado,39310.63
2016-01-15,Fondo de Cesantias Largo Plazo,22782.13
2016-01-15,Fondo de Cesantias Corto Plazo,23372.77
2016-01-15,Fondo de Pensiones Moderado,36927.12
2016-01-15,Fondo de Pensiones Conservador,38638.85
2016-01-15,Fondo de Pensiones Mayor Riesgo,36646.54
2016-01-15,Fondo de Pensiones Retiro Programado,39133.29
2016-01-16,Fondo de Cesantias Largo Plazo,22783.73
2016-01-16,Fondo de Cesantias Corto Plazo,23375.17
2016-01-16,Fondo de Pensiones Moderado,36931.97
2016-01-16,Fondo de Pensiones Conservador,38647.85
2016-01-16,Fondo de Pensiones Mayor Riesgo,36649.9
2016-01-16,Fondo de Pensiones Retiro Programado,39142.93
2016-01-17,Fondo de Cesantias Largo Plazo,22785.85
2016-01-17,Fondo de Cesantias Corto Plazo,23377.48
2016-01-17,Fondo de Pensiones Moderado,36937.45
2016-01-17,Fondo de Pensiones Conservador,38656.53
2016-01-17,Fondo de Pensiones Mayor Riesgo,36654.68
2016-01-17,Fondo de Pensiones Retiro Programado,39152.4
2016-01-18,Fondo de Cesantias Largo Plazo,22695.15
2016-01-18,Fondo de Cesantias Corto Plazo,23381.85
2016-01-18,Fondo de Pensiones Moderado,36729.91
2016-01-18,Fondo de Pensiones Conservador,38563.99
2016-01-18,Fondo de Pensiones Mayor Riesgo,36431.54
2016-01-18,Fondo de Pensiones Retiro Programado,39056.58
2016-01-19,Fondo de Cesantias Largo Plazo,22794.21
2016-01-19,Fondo de Cesantias Corto Plazo,23383.1
2016-01-19,Fondo de Pensiones Moderado,36924.34
2016-01-19,Fondo de Pensiones Conservador,38660.13
2016-01-19,Fondo de Pensiones Mayor Riesgo,36777.37
2016-01-19,Fondo de Pensiones Retiro Programado,39142.36
2016-01-20,Fondo de Cesantias Largo Plazo,22677.67
2016-01-20,Fondo de Cesantias Corto Plazo,23388.47
2016-01-20,Fondo de Pensiones Moderado,36781.48
