,0
valor_unidad,1.0
"nombre_entidad_""Colfondos S.A."" Y ""Colfondos""",0.0
"nombre_entidad_""Porvenir""",0.0
"nombre_entidad_""Proteccion""",0.0
nombre_entidad_Skandia Afp - Accai S.A.,0.0
nombre_fondo_Fondo de Cesantias Corto Plazo,0.0
nombre_fondo_Fondo de Cesantias Largo Plazo,0.0
nombre_fondo_Fondo de Pensiones Alternativo,0.0
nombre_fondo_Fondo de Pensiones Conservador,0.0
nombre_fondo_Fondo de Pensiones Mayor Riesgo,0.0
nombre_fondo_Fondo de Pensiones Moderado,0.0
nombre_fondo_Fondo de Pensiones Retiro Programado,0.0
