,0
valor_unidad,1.0985599456179866
nombre_fondo_Fondo de Cesantias Corto Plazo,0.0834690925064756
nombre_fondo_Fondo de Cesantias Largo Plazo,0.05774834572290222
nombre_fondo_Fondo de Pensiones Alternativo,0.04368395754023213
nombre_entidad_Skandia Afp - Accai S.A.,0.035893490708373
nombre_fondo_Fondo de Pensiones Retiro Programado,0.030444300460667373
nombre_fondo_Fondo de Pensiones Mayor Riesgo,0.025392402700630257
nombre_fondo_Fondo de Pensiones Conservador,0.024011013361824096
nombre_fondo_Fondo de Pensiones Moderado,0.021357480880295654
"nombre_entidad_""Proteccion""",0.014036141973988059
"nombre_entidad_""Porvenir""",0.006055253703565189
"nombre_entidad_""Colfondos S.A."" Y ""Colfondos""",0.005667026477370829
